assignee
Anhui Masteel Surface Technology Co., Ltd.
Tsinghua University
BOE Technology Group Co., Ltd.
Alibaba (China) Co., Ltd.
Zhejiang Yasha Decoration Co., Ltd.
Creative Information Technology Co., Ltd.
gemi industrial equipment gmbh gmbh & co. kg
Zhuhai Gree Electric Appliances Co., Ltd.
Shantou Yinghuan Intelligent Technology Co., Ltd.
Nanjing Vehicle Chain Technology Co., Ltd.
Baoshan Iron and Steel Co., Ltd.
Wenzhou Sikurui Machinery Technology Co., Ltd.
Hoffman Roche GmbH
Sichuan Agricultural University
Nitto Denko Co., Ltd.
Jilin Province Jinuo Biological Engineering Co., Ltd.
Zhongke Mayo (Shandong) Medical Laboratory Co., Ltd.
Pengding Holdings (Shenzhen) Co., Ltd.
Jihua 3517 Rubber Products Co., Ltd.
State Grid Hebei Electric Power Co., Ltd. Shijiazhuang Gaocheng District Power Supply Branch
Ordos Yuansheng Optoelectronics Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Ningbo University
Jiangsu Ocean and Fisheries Research Institute
Zhou Weide
Cui Engang
Huawei Technologies Co., Ltd
Sichuan Zhongdian Kunchen Technology Co., Ltd.
China Mobile Communications Corporation
Changzhou Chuangling Machinery Co., Ltd.
Jiashan Changfeng Luggage Co., Ltd.
Beijing Jiaotong University
Cainiao Intelligent Logistics Holdings Co., Ltd.
Frontier Drive (Beijing) Technology Co., Ltd.
Qualcomm Incorporated
Siemens AG
Institute of Microelectronics, Chinese Academy of Sciences
Yongjia Mingjia Hardware Co., Ltd.
Northeastern University
SAIC Motor Corporation Limited
Huang Yun
Siemens Gamesa Renewable Energy
Xi'an TCL Software Development Co., Ltd.
Zhongshan Red Point Chemical Co., Ltd.
Royal Philips Limited
Shenzhen Traditional Chinese Medicine Hospital
Shenzhen Aite Network Energy Technology Co., Ltd.
Beijing University of Posts and Telecommunications
Lesao Integrated Home Furnishing Co., Ltd.
isikon co., ltd.
Wuhan Xinxin Integrated Circuit Manufacturing Co., Ltd.
Shanghai Microelectronics Equipment (Group) Co., Ltd.
Chongqing Institute of Traditional Chinese Medicine
Yamaha Motor Co., Ltd.
Jiangsu Lanfeng Environmental Protection Technology Co., Ltd.
NTT Docomo Co. , Ltd.
Huawei Technologies Co., Ltd
Longsi (Shanghai) New Material Technology Co., Ltd.
NTT Docomo Co. , Ltd.
Jinzhou Jinke High-tech Development Co., Ltd.
Shandong Lutai Construction Engineering Group Co., Ltd.
Hohai University Changzhou Campus
Shaanxi University of Science and Technology
The Fourth Military Medical University of the Chinese People's Liberation Army
Huacan Optoelectronics (Zhejiang) Co., Ltd.
Xiamen Yueyi Electronic Technology Co., Ltd.
Shaanxi University of Science and Technology
Shima Seiki Co., Ltd.
Shenzhen Haobo Window Control Technology Co., Ltd.
Hunan Xinrong Building Materials Technology Co., Ltd.
Shenzhen Waterworld Co., Ltd.
Jiekai Communication (Shenzhen) Co., Ltd.
Nanhua University
Guangzhou Liding Auto Parts Co., Ltd.
Fengyun Bowei (Shenzhen) Technology Co., Ltd.
Wuda Gio Information Technology Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Shenzhen Shangyangtong Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Zhengzhou Shengda School of Economics and Business Management
Guangdong University of Technology
Zhejiang Boxing Chemical Coatings Co., Ltd.
Yunnan University
Shanghai Renben Group Co., Ltd.
China Mobile Communications Group Co., Ltd.
Shandong Anwei Biological Technology Co., Ltd.
Midea Group Co., Ltd.
Fujifilm Co., Ltd.
Hunan University of Traditional Chinese Medicine
Institute of Tropical Biotechnology, Chinese Academy of Tropical Agricultural Sciences
Institute of Environmental Horticulture, Guangdong Academy of Agricultural Sciences
AGC Corporation
Boxing Xingye Intelligent New Material Co., Ltd.
Qingdao Haier Dishwasher Co., Ltd.
Suzhou Jiupei Environmental Protection Technology Co., Ltd.
Gangyan Shenghua Technology Co., Ltd.
Beijing Institute of Technology
Zhengzhou Yuanchuang Jiyin Industrial Co., Ltd.
Tianjin Zamp Technology Co., Ltd.
Baosteel Special Steel Shaoguan Co., Ltd.
Pingdingshan College
Shenzhen Information Vocational and Technical College
Suzhou Huize Agricultural Technology Co., Ltd.
Anhui University of Technology
Emeishan Chicheng Machinery Manufacturing Co., Ltd.
Nanchang University
Sun Jinchuan
Nantong Dianbo Automation Equipment Co., Ltd.
Xuchang Yutong Printing and Packaging Co., Ltd.
Zhejiang Ocean University
Zhejiang University
Chinese People's Liberation Army Strategic Support Force Information Engineering University
Bandai Co., Ltd.
Huawei Technologies Co., Ltd
BOE Technology Group Co., Ltd.
Nokia Communications
Institute of Urban Environment, Chinese Academy of Sciences
Weilai (Anhui) Holdings Co., Ltd.
Hangzhou Yijia Textile Co., Ltd.
China Railway Construction Heavy Industry Group Co., Ltd.
Zhejiang University of Technology
OPPO Guangdong Mobile Communication Co., Ltd.
University of Electronic Science and Technology of China
ZTE Corporation
Idemitsu Kosan Co., Ltd.
Shanghai Eye Control Technology Co., Ltd.
Huazhong University of Science and Technology
Hebei Yanyuan Zhongxin Graphene Technology Co., Ltd.
Xinchang County Jiayijie Machinery Co., Ltd.
Evergrande New Energy Vehicle Investment Holding Group Co., Ltd.
Ningbo Jinchang Electromechanical Technology Co., Ltd.
senvian co., ltd.
Zhejiang Yiming Locomotive Parts Co., Ltd.
He Huanming
Nikon Metrology Plc
Amazon Technologies
Huawei Technologies Co., Ltd
Haining Jinneng Water Heater Co., Ltd.
Guangzhou Kugou Computer Technology Co., Ltd.
Apple
Zhejiang University
Chengdu University of Technology
Hubei Jinyang Construction Engineering Co., Ltd.
Guangxi Normal University
Guangzhou Institute of Geography
Suzhou University
Shandong Jianbang Colloidal Material Co., Ltd.
Jingcheng Engineering Automotive Systems Co., Ltd.
Nanjing Damai Technology Industry Co., Ltd.
Xinjiang Railway Survey and Design Institute Co., Ltd.
China Pharmaceutical University
Huawei Technologies Co., Ltd
Haining Golden Kylin Fashion Co., Ltd.
Comba Telecom System (China) Co., Ltd.
Toyo Rubber Industry Co., Ltd.
Liaoning University of Engineering and Technology
Zhejiang AVIC Tongfei Research Institute Co., Ltd.
University of Electronic Science and Technology of China
Zhejiang Otto Electric Co., Ltd.
Shandong Ruihua Tonghui Photoelectric Technology Co., Ltd.
Beijing Ruizhuo Xitou Technology Development Co., Ltd.
Qingdao Ruixuan Steel Structure Engineering Co., Ltd.
China Mobile Communications Corporation
Shenzhen Shangyangtong Technology Co., Ltd.
Shanghai Microelectronics Equipment (Group) Co., Ltd.
Zhejiang Guojing Pharmaceutical Co., Ltd.
obert trust co.
Xiang Zuyue
Xi'an Fast Auto Transmission Co., Ltd.
Hainan Zhongzheng Aquatic Technology Co., Ltd.
Shanxi Huangcheng Xiangfu Pharmaceutical Co., Ltd.
Dalian Kewanwei Medical Technology Co., Ltd.
Zhongke Sanqing Technology Co., Ltd.
Shandong Expressway Engineering Inspection Co., Ltd.
Hunan Institute of Engineering
Shenzhen Huaxing Optoelectronics Technology Co., Ltd.
Gansu Qiyuan Intelligent Technology Co., Ltd.
Wenzhou Nanguan Machinery Co., Ltd.
Jilin University
Southeast University
Huazhong University of Science and Technology
Wuxi Haida Safety Glass Co., Ltd.
Wuhan Traditional Chinese Medicine Hospital
Sony Corporation
Gangyan Shenghua Technology Co., Ltd.
Chengdu Pisi Aviation Technology Co., Ltd.
Chongqing University of Arts and Sciences
Jiaxing Daming Industrial Co., Ltd.
Nanjing Huasu Technology Co., Ltd.
Zhejiang University
Sumitomo Electric Industries, Ltd.
China General Nuclear Power Co., Ltd.
Lai Tongxian
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Zhejiang Wanli New Material Technology Co., Ltd.
Shanghai Tianma Organic Light Emitting Display Technology Co., Ltd.
Zhu Limei
Central South University
Liu Shihui
Beijing Research Institute of Chemical Industry, China Petroleum & Chemical Corporation
Shenzhen Qixin Group Co., Ltd.
Suzhou Hengrui Hongyuan Medical Technology Co., Ltd.
Foshan Shunde Midea Electric Heating Appliance Manufacturing Co., Ltd.
Analog Devices
China Pharmaceutical University
Beijing Jiaotong University
ADEKA Co. , Ltd.
Heilongjiang Bayi Agricultural University
Fingerprint Card Co., Ltd.
Huang Xiukai
Shanghai Jiaotong University
University of Science and Technology of China
China Aviation Manufacturing Technology Research Institute
Wang Ning
Institute of Microbiology, Academy of Agricultural Sciences, Guangxi Zhuang Autonomous Region
New H3C Technology Co., Ltd.
Chengdu Aircraft Industry (Group) Co., Ltd.
Foshan Kehua Smart Sewing Equipment Co., Ltd.
Huawei Technologies Co., Ltd
Nippon Tech Carbon Co., Ltd.
Panasonic Intellectual Property Management Co., Ltd.
Tu Xuping
Chengdu Domu Automobile Engineering Co., Ltd.
Zhongwei Xingtuo Agricultural Production Materials Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
Jinan Universty
BOE Technology Group Co., Ltd.
Anhui Baiyao Electronic Technology Co., Ltd.
Shandong Academy of Forestry Sciences
Dongguan Mingpu Optical Co., Ltd.
Zhuhai Youte IOT Technology Co., Ltd.
Dongyou Fine Chemical Co., Ltd.
Yang Kai
Qiku Internet Technology (Shenzhen) Co., Ltd.
Qingxin Future (Beijing) Technology Co., Ltd.
Guangdong Electromechanical Vocational and Technical College
Jiangnan University
Shanghai Electric Power University
Chongqing Urban Management Vocational College
Nantong Institute of Technology
China Automotive Engineering Research Institute Co., Ltd.
Hangzhou Zhongao Technology Co., Ltd.
Dongguan Fuci Electronics Co., Ltd.
Apple
South China University of Technology
Shanxi Agricultural University
Zhejiang Yuanan Fluid Equipment Co., Ltd.
LONGi Green Energy Technology Co., Ltd.
Google LLC
Yangling Agricultural University Pollution-free Pesticide Research Service Center
Guangdong Pharmaceutical University
Jinan University
Quanta Computer Co., Ltd.
Harbin Institute of Technology
Ding Xianyong
Jiaxing Dingshang Information Technology Co., Ltd.
Hangzhou Baowei Auto Parts Co., Ltd.
Fanuc Co., Ltd.
Shanghai Tongxi Electronic Technology Co., Ltd.
Shanghai Nokia Bell Co., Ltd.
Zhejiang University of Technology
NetEase (Hangzhou) Network Co., Ltd.
Fujian Tianyi Network Technology Co., Ltd.
Gaoyou Shunda Power Electromechanical Co., Ltd.
University of Science and Technology Beijing
Shenzhen Jianan Pharmaceutical Co., Ltd.
Suzhou Bozhong Robot Co., Ltd.
Nanjing University of Technology
Qiqihar University
Wuxi Fuze Pharmaceutical Co., Ltd.
Evonik Operations Ltd.
Chang Yan
Beijing Institute of Electronic Engineering
Beijing Zhongke Lifeng Technology Co., Ltd.
KT Corporation
Shanghai Jiuyi Biotechnology Co., Ltd.
Wuhan Iron and Steel Co., Ltd.
Beijing University of Chemical Technology
Ningbo Joyson Group Automotive Systems Co., Ltd.
Sun Yat-Sen University
Hou Yuejun
Jiangsu Kailin Ruiyang Chemical Co., Ltd.
Wang Jinliang
BOE Technology Group Co., Ltd.
Huawei Metal Mineral Resources Efficient Recycling National Engineering Research Center Co., Ltd.
Linquan Rongxing Wood Industry Co., Ltd.
Sino Solar (Anhui) Co., Ltd.
Zhejiang Chengcheng Stationery Co., Ltd.
Fujian Mingtai Agricultural Investment Co., Ltd.
Ericsson Sweden Ltd.
Institute of Metal Research, Chinese Academy of Sciences
Wang Zigeng
Yangzhou University
Zhejiang Hengye Electronics Co., Ltd.
ZTE Corporation
Sichuan Agricultural University
Panzhihua University
Hyundai Motor Co., Ltd.
Qingdao University of Technology
Beijing Guangyuan Yinong Chemical Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Sichuan Academy of Traditional Chinese Medicine
Fujian Jinhua Integrated Circuit Co., Ltd.
Universal Interconnect and Data Center Corporation
Zhuhai Tengbai Pharmaceutical Co., Ltd.
Anhui Ruiji Intelligent Technology Co., Ltd.
Beijing New Energy Vehicle Co., Ltd.
Sharp Corporation
Shanghai Feikai Electronic Materials Co., Ltd.
Casio Computer Co., Ltd.
Chongqing Xiye Wire and Cable Technology Co., Ltd.
Zhejiang Rixin Electric Co., Ltd.
HPE Development LLP
State Grid Ningxia Electric Power Co., Ltd. Zhongwei Power Supply Company
University of Science and Technology Beijing
Comba Telecom System (China) Co., Ltd.
China Metallurgical Construction Engineering Group Co., Ltd.
Fujian College of Engineering
Hangzhou Joyoung Small Appliance Co., Ltd.
Shanghai Institute of Satellite Engineering
Huawei Technologies Co., Ltd
Zhengzhou Fruit Tree Research Institute, Chinese Academy of Agricultural Sciences
Tianjin Hongye Construction Group Co., Ltd.
Wuhe County Zhikai Environmental Protection Technology Co., Ltd.
Sanmen Nuclear Power Co., Ltd.
Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences
New H3C Technology Co., Ltd.
Li Yanli
Qingdao Xiaomanxunke Information Technology Co., Ltd.
Taiyuan University of Technology
Taiyuan University of Technology
Gu Haiming
CRRC Nanjing Puzhen Vehicle Co., Ltd.
Shandong First Medical University (Shandong Academy of Medical Sciences)
Xiamen Jingxing Electronic Materials Co., Ltd.
Shanxi Taigang Stainless Steel Precision Strip Co., Ltd.
Oriental Hospital of Beijing University of Traditional Chinese Medicine
Southern University of Science and Technology
BOE Technology Group Co., Ltd.
Baotou Iron and Steel (Group) Co., Ltd.
Wuhan Marine Machinery Co., Ltd.
Zhejiang Normal University
Zhuhai Gree Electric Appliances Co., Ltd.
Yiwu Fante Plastic Products Co., Ltd.
Roman Therapeutic Systems AG
Huizhou Lvzhidao Industrial Materials Co., Ltd.
Shenzhen Guangqi Advanced Technology Co., Ltd.
Henan University of Traditional Chinese Medicine
Yang Ruifen
Shenzhen Hanxingxiang Technology Co., Ltd.
Institute of Biotechnology, Chinese Academy of Agricultural Sciences
Tianma Microelectronics Co., Ltd.
Wärtsilä Moss
Wuhan University of Light Industry
CRRC Dalian Locomotive Research Institute Co., Ltd.
Guangdong Wangda Construction Co., Ltd.
Yang Xin
Southern Hospital of Southern Medical University
Rizhao Chaoyi Technology Innovation Development Co., Ltd.
Alibaba Group Holdings Limited
Yellow River Institute of Science and Technology
Qualcomm Incorporated
China National Tobacco Corporation Zhengzhou Tobacco Research Institute
Liaocheng Kangzhan Agricultural Technology Co., Ltd.
Suzhou Xiquan Software Technology Co., Ltd.
Nanjing University of Posts and Telecommunications
Shaoxing Keqiao Furong Textile Co., Ltd.
Huazhong Agricultural University
Guangzhou Bowu Trading Co., Ltd.
Langfang New Times Chemical Building Materials Co., Ltd.
South China Agricultural University
Zhuhai Meizu Technology Co., Ltd.
Beijing Sogou Technology Development Co., Ltd.
Boyang Biotechnology (Shanghai) Co., Ltd.
Xiangtan University
Sinosteel Luoyang Refractory Research Institute Co., Ltd.
Hangzhou Blue Qingqing Clothing Co., Ltd.
Xidian University
Zhuhai Lianyun Technology Co., Ltd.
Shanghai United Imaging Medical Technology Co., Ltd.
Putian College
Huawei Technologies Co., Ltd
Beihang University
Gao Jianxin
Shenzhen Instant Point Technology Co., Ltd.
Hangzhou Yazhou Intelligent Technology Co., Ltd.
Foshan Shunde Midea Electric Heating Appliance Manufacturing Co., Ltd.
Tsinghua University
Nanjing NARI Information and Communication Technology Co., Ltd.
Zhejiang Sci-Tech University
Guangxi Zhuang Autonomous Region Fisheries Research Institute
Nanjing Liuchuang Technology Development Co., Ltd.
Beijing University of Posts and Telecommunications
Liu Lei
Dongguan Zhongtu Semiconductor Technology Co., Ltd.
Xie Ruibo
Changde Zhenbang Rice Industry Co., Ltd.
Chen Hao
Inspur Commercial Machinery Co., Ltd.
Baoshan Iron and Steel Co., Ltd.
Samsung Display Co., Ltd.
CECEP Wanrun Co., Ltd.
Huawei Technologies Co., Ltd
Tibet Beizhuya Electronic Technology Co., Ltd.
China General Nuclear Power Co., Ltd.
Weihai Hairun New Material Technology Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Sipin Precision Industry Co., Ltd.
Huawei Technologies Co., Ltd
Institute of Automation, Chinese Academy of Sciences
Institute of Process Engineering, Chinese Academy of Sciences
Shanghai Pengxi Semiconductor Co., Ltd.
Beijing Shunyi District Maternal and Child Health Hospital (Beijing Children's Hospital Shunyi Women and Children's Hospital)
Nanjing Agricultural College
Jinan Universty
Lenovo (Beijing) Co., Ltd.
Chongqing BOE Optoelectronics Technology Co., Ltd.
Tsinghua University
Yanshan University
Central South University
Shenzhen Graduate School of Harbin Institute of Technology
Anhui Agricultural University
Komatsu Co., Ltd.
Geely Automobile Research Institute (Ningbo) Co., Ltd.
Hangzhou Zhiju Technology Co., Ltd.
Shanghai Jiaotong University
Tong Dandan
Henan University of Science and Technology
Ningbo University
Huaihua College
Foshan Gaowei Hardware Products Co., Ltd.
Wuhan Iron and Steel Co., Ltd.
Jiaxing Shengkang Information Technology Co., Ltd.
Shaanxi Zhaoxin Biotechnology Co., Ltd.
Southwest Petroleum University
Henan Baijia New Energy-saving Materials Co., Ltd.
Wuhan Tianma Microelectronics Co., Ltd.
Guangzhou Tinci High-tech Materials Co., Ltd.
Hunan Matsui New Materials Co., Ltd.
Hebei Huawo Communication Technology Co., Ltd.
New Shanglong Technology Henan Co., Ltd.
Li Zihui
Zhejiang University
LG Electronics Co., Ltd.
Jiaxing Huawei New Energy Co., Ltd.
Shenyang SIASUN Robotic Automation Co., Ltd.
MediaTek Corporation
Hebei Fangsheng Plastic Industry Co., Ltd.
Nippon Steel Corporation
China Mobile Communications Corporation
South China University of Technology
Xuzhou Tiancheng Intelligent Technology Co., Ltd.
Taizhou Fengfa Power Equipment Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Zhengzhou Institute of Technology
Intel IP Corporation
